Competency	Level1	Level2	ValidationMethod	KnowledgeSource	PolicySource	UpdateNote
Basic Airway Management	Airway Management		Validated by Observation of Behavior			Basic Airway Management Word Document Updated 4/2017
Basic Airway Management - Ambulatory	Airway Management		Validated by Observation of Behavior			
Advanced Airway Management	Airway Management		Validated by Completion of AHA ACLS/PALS Provider and  Observation of Behavior			Advanced Airway Management Word Document Updated 4/2019
Chest Physiotherapy	Airway Management		Validated by Observation of Behavior			Chest Physiotherapy Word Document updated 1/2020
Chest Physiotherapy - VEST Airway Clearance System	Airway Management		Validated by Observation of Behavior			Chest Physiotherapy - VEST Word Document Updated 3/2018
Endotracheal Intubation - Rapid Sequence	Airway Management		"Validated by completion of educational activity, skills lab practice and Observation of Behavior"			Endotracheal Intubation - Rapid Sequence Word Document Updated 9-2016
Endotracheal Intubation - Assists	Airway Management		Validated by Completion of AHA Advanced Life Support Course and Observation of Behavior			Endotracheal Intubation - Assists Word Document Updated 5/2019
Endotracheal Intubation - Assists - ICN	Airway Management		Validated by Observation of Behavior			
Rapid Sequence Intubation - Assists	Airway Management		Validated by Observation of Behavior			
Endotracheal Tube Care	Airway Management		Validated by Observation of Behavior			
King LTS-D Insertion	Airway Management		Validated by Observation of Behavior			
Mechanical Ventilation - Adult	Airway Management		Validated by Observation of Behavior			Mechanical Ventilation - Adult Word Document Updated 11/2017
Mechanical Ventilation - Home Vent	Airway Management		Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Airway%20Management%20-%20Mechanical%20Ventilation%20-%20Home%20Vent%207-2018.pdf		Mechanical Ventilation - Home Vent Word Document Updated 7-2018
Mechanical Ventilation - Pediatrics	Airway Management		Validated by Observation of Behavior			Mechanical Ventilation - Pediatrics Word Document Updated 3/2018
Mechanical Ventilation - ICN	Airway Management		Validated by Observation of Behavior			
Laryngectomy Care	Airway Management		Validated by Observation of Behavior			Laryngectomy Care Word Document Updated 10-2018
Larytube/HME	Airway Management		Validated by Observation of Behavior			Larytube/HME Word Document Updated 4/2017
Nasal Packing Removal	Airway Management		Validated by Observation of Behavior			Nasal Packing Removal Word Document Updated 6/2020
Naso/Orpharyngeal/ Tracheal Suctioning - ED/LF	Airway Management		Validated by Observation of Behavior			
Needle Cricothyoidotomy – Adults	Airway Management		"Validated by completion of educational activity, skills lab practice and Observation of Behavior"			Needle Cricothyoidotomy – Adults Word Document Updated 9-2016
Needle Cricothyoidotomy – Pediatrics	Airway Management		"Validated by completion of educational activity, skills lab practice and Observation of Behavior"			Needle Cricothyoidotomy – Pediatrics Word Document Updated 9-16-2020
Surgical Cricothyroidotomy - Adult - Life Flight	Airway Management					Surgical Cricothyroidotomy - Adult - LifeFlight Feb 2024
Naso/Oropharyngeal Suctioning	Airway Management		Validated by Observation of Behavior			
Oropharyngeal Suctioning	Airway Management					Oropharyngeal Suctioning Word Document updated 4/2017
Oxygen System Safety - Life Flight	Airway Management					
Suction Equipment	Airway Management		Validated by Observation of Behavior			Suction Equipment Word Document Updated 2/2019
Tracheostomy Care	Airway Management		Validated by Observation of Behavior	Video https://warpwire.duke.edu/w/Q6ECAA/		Tracheostomy Care Word Document Updated 4/2017
Tracheostomy Care - ICN	Airway Management		Validated by Observation of Behavior			
Tracheal Suctioning	Airway Management		Validated by Observation of Behavior	Video https://warpwire.duke.edu/w/Q6ECAA/		Tracheal Suctioning Word Document Updated 4/2017
Tracheal Suctioning - ICN	Airway Management		Validated by Observation of Behavior			
Cardiac Monitor	Cardiac Monitoring		Validated by Completion of EKG test and Observation of Behavior			Cardiac Monitor Word Document Updated 6/2019
IABP Maintenance	Cardiac Monitoring		Validated by Observation of Behavior		DUHS Policy Link https://dukeuniversity.policytech.com/dotNet/documents/?docid=4836	IABP Maintenance Word Document Updated 5/2018
IABP - Assists with Insertion	Cardiac Monitoring		Validated by Observation of Behavior		DUHS Policy Link https://dukeuniversity.policytech.com/dotNet/documents/?docid=4836	IABP - Assists with Insertion Word Document Updated 4/2019
IABP - EP Lab	Cardiac Monitoring		Validated by Observation of Behavior			
IABP - Patient Transport	Cardiac Monitoring		Validated by Observation of Behavior			
Propaq	Cardiac Monitoring		Validated by Observation of Behavior			
QTc Interval Measurement	Cardiac Monitoring		Validated by Successful Test Completion and Observation of Behavior			QTc Interval Measurement Word Document Updated 1-2020
Intra-Aortic Balloon Pump – Maintenance – Cath Lab	Cardiac Monitoring		Validated by completion of educational activity and Observation of Behavior		DUHS Policy Link https://dukeuniversity.policytech.com/dotNet/documents/?docid=4836	
Zoll Propaq MD	Cardiac Monitoring		Validated by Observation of Behavior			
Chest Tube Site Care and Management	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	JIT Videos and Resources: https://medvideos.duhs.duke.edu/		Chest Tube Site Care and Management Word Document Updated 4/2017
Chest Tube Small Bore Catheter Flush - Adult	Drainage Devices	Chest Tube Management	Validated by Policy Review and Observation of Behaviors			Chest Tube Small Bore Flush Word Document Updated 2-2020
Needle Decompression via Cook Catheter	Drainage Devices	Chest Tube Management	"Validated by completion of educational activity, skills lab practice and Observation of Behavior"			Needle Decompression via Cook Catheter Word Document Updated 9-2016
Needle Chest Decompression - Percutaneous	Drainage Devices	Chest Tube Management	"Validated by completion of educational activity, skills lab practice and Observation of Behavior"			Needle Chest Decompression - Percutaneous Word Document Updated 9-2016
Pleurx Catheter	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			Pleurx Catheter Word Document Updated 4/2017
Drainage Tubes	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Drainage%20Tubes%204-2017.pdf		Drainage Tubes Word Document
Drainage Tubes - OR	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			
External Ventricular Drain - Adults	Drainage Devices	Chest Tube Management				External Ventricular Drain - Adults updated 7/2024
External Ventricular Drain - Peds	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20External%20Ventricular%20Drain%202-2020.pdf		External Ventricular Drain - Peds Word Document Updated 2/2020
Fecal Incontinence Management	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Fecal%20Incontinence%20Management%204-2017.pdf		Fecal Incontinence Management Word Document Updated 4/2017
Lumbar Drain Care	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Lumbar%20Drain%203-2018.pdf		Lumbar Drain Care Word Document Updated 3/2018
Nasogastric/Orogastric Tube - Insertion	Drainage Devices	Chest Tube Management	Validated By Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Nasogastric%20Tube%20-%20Insertion%20and%20Removal%204-2017.pdf		Nasogastric Tube Insertion Updated 9/2024
Nasogastric/Orogastric Tube - Removal	Drainage Devices	Chest Tube Management	Validated By Observation of Behavior			
Nasogastric/Orogastric Tube - Maintenance	Drainage Devices	Chest Tube Management	Validated By Observation of Behavior			
Nasogastric/Orogastric Tube - Maintenance and Removal	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			
Pericardial Drain Care	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Pericardial%20Drain%20Care%203-2019.pdf		Pericardial Drain Care Word Document Updated 5/ 2025
Pericardial Catheter Fluid Aspiration and Flush	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	: https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Pericardial%20Catheter%20Aspriation%20and%20Flush%20-%20DUHS%20Advanced%20Skill%20Education%20Plan%20-3-2019.pdf	Policy: DUHS Pericardialcentesis Procedure and Protocol # 207492	
Rectal Tube Insertion and Management	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Rectal%20Tube%20Insertion%20and%20Management%204-2017.pdf		Rectal Tube Insertion and Management Word Document  Updated 4/2017
Repogle Insertion and Removal	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			Repogle Insertion and Removal Word Document Updated 6-2018
Suction Equipment and Supplies – OR	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			
Surgical Drain Removal	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	:https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Drainage%20Devices%20-%20Surgical%20Drain%20Removal%207-2018.pdf		Surgical Drain Removal Word Document Updated 7-2018
Urinary Catheter Insertion	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Urinary%20Drainage%20Catheter%20Insertion%209-2018.pdf		Urinary Drainage Catheter Insertion Word Document
Urinary Catheter Maintenance	Drainage Devices	Chest Tube Management	Validated By Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Urinary%20Drainage%20Catheter%20Maintenance%209-2018.pdf		Urinary Drainage Catheter Maintenance Word Document Updated 9/2019
Urinary Catheter Insertion And Maintenance	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Urinary%20Drainage%20Catheter%20Insertion%20and%20Maintenance%209-2018.pdf		Urinary Drainage Catheter Insertion And Maintenance Word Document Updated 9/2018
Urinary Drainage Catheter Insertion And Maintenance - Clinic	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Urinary%20Drainage%20Catheter%20Insertion%20and%20Maintenance%209-2018.pdf		
Urinary Drainage Device - External Urinary Management Device	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior	: https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Urinary%20Catheteter%20Insertion%20and%20Maintenance%20-%20Female%20External%20Urinary%20Catheter%20Device%209-2018doc.pdf		Urinary Drainage - Female External Urinary Management Device Word Document Updated 9-2018
Urinary Drainage - Suprapubic Catheter Exchange	Drainage Devices	Chest Tube Management				Urinary Drainage - Suprapubic Catheter Exchange Updated 1/2023
Urinary Drainage Catheter Maintenance - OR	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			
Urinary Drainage Catheter Maintenance - PACU	Drainage Devices	Chest Tube Management	Validated by Observation of Behavior			
